Month,Statistic Label,VALUE
1964-01-01 00:10:00,Average Maximum Temperature,12.864285714285714
1964-01-01 00:10:00,Average Minimum Temperature,6.55
1964-01-01 00:10:00,Highest Temperature,17.392857142857142
1964-01-01 00:10:00,Lowest Temperature,0.25
1964-01-01 00:10:00,Mean Temperature,9.728571428571428
1964-01-01 00:11:00,Average Maximum Temperature,11.071428571428571
1964-01-01 00:11:00,Average Minimum Temperature,5.307142857142857
1964-01-01 00:11:00,Highest Temperature,14.342857142857143
1964-01-01 00:11:00,Lowest Temperature,-2.0714285714285716
1964-01-01 00:11:00,Mean Temperature,8.22857142857143
1964-01-01 00:12:00,Average Maximum Temperature,8.042857142857143
1964-01-01 00:12:00,Average Minimum Temperature,2.4285714285714284
1964-01-01 00:12:00,Highest Temperature,12.678571428571429
1964-01-01 00:12:00,Lowest Temperature,-2.935714285714286
1964-01-01 00:12:00,Mean Temperature,5.264285714285714
1965-01-01 00:01:00,Average Maximum Temperature,6.7
1965-01-01 00:01:00,Average Minimum Temperature,1.3071428571428572
1965-01-01 00:01:00,Highest Temperature,11.542857142857143
1965-01-01 00:01:00,Lowest Temperature,-4.178571428571429
1965-01-01 00:01:00,Mean Temperature,4.0285714285714285
1965-01-01 00:02:00,Average Maximum Temperature,6.821428571428571
1965-01-01 00:02:00,Average Minimum Temperature,1.3928571428571428
1965-01-01 00:02:00,Highest Temperature,10.078571428571427
1965-01-01 00:02:00,Lowest Temperature,-4.1
1965-01-01 00:02:00,Mean Temperature,4.135714285714285
1965-01-01 00:03:00,Average Maximum Temperature,9.62142857142857
1965-01-01 00:03:00,Average Minimum Temperature,3.064285714285714
1965-01-01 00:03:00,Highest Temperature,18.74285714285714
1965-01-01 00:03:00,Lowest Temperature,-6.371428571428572
1965-01-01 00:03:00,Mean Temperature,6.371428571428572
1965-01-01 00:04:00,Average Maximum Temperature,11.935714285714285
1965-01-01 00:04:00,Average Minimum Temperature,4.921428571428572
1965-01-01 00:04:00,Highest Temperature,15.614285714285714
1965-01-01 00:04:00,Lowest Temperature,0.8785714285714287
1965-01-01 00:04:00,Mean Temperature,8.45
1965-01-01 00:05:00,Average Maximum Temperature,14.407142857142857
1965-01-01 00:05:00,Average Minimum Temperature,7.471428571428571
1965-01-01 00:05:00,Highest Temperature,20.37142857142857
1965-01-01 00:05:00,Lowest Temperature,1.5071428571428573
1965-01-01 00:05:00,Mean Temperature,10.971428571428572
1965-01-01 00:06:00,Average Maximum Temperature,16.992857142857144
1965-01-01 00:06:00,Average Minimum Temperature,9.521428571428572
1965-01-01 00:06:00,Highest Temperature,21.607142857142858
1965-01-01 00:06:00,Lowest Temperature,4.0
1965-01-01 00:06:00,Mean Temperature,13.292857142857143
1965-01-01 00:07:00,Average Maximum Temperature,17.007142857142856
1965-01-01 00:07:00,Average Minimum Temperature,10.049999999999999
1965-01-01 00:07:00,Highest Temperature,20.564285714285713
1965-01-01 00:07:00,Lowest Temperature,5.242857142857143
1965-01-01 00:07:00,Mean Temperature,13.549999999999999
1965-01-01 00:08:00,Average Maximum Temperature,17.54285714285714
1965-01-01 00:08:00,Average Minimum Temperature,10.75
1965-01-01 00:08:00,Highest Temperature,21.32857142857143
1965-01-01 00:08:00,Lowest Temperature,5.571428571428571
1965-01-01 00:08:00,Mean Temperature,14.171428571428573
1965-01-01 00:09:00,Average Maximum Temperature,14.642857142857142
